Year,Region,Season,Soil Type,Soil pH,Soil Nitrogen,Soil Phosphorus,Soil Potassium,Soil Organic Matter (%),Soil Moisture (%),Avg Rainfall (mm),Solar Radiation Impact (BTU/sqft),Rotation Sequence,Crop_Planted (Action),Growth Duration (days),Water Requirement (mm),Phosphorus Requirement (kg/ha),Potassium Requirement (kg/ha),Nitrogen Requirement (kg/ha),Base Yield (kg/ha),Simulated Yield (kg/ha),Soil Score Before,Soil Score After
2012,Arunachal Pradesh,Zaid,Forest,6.47,99.89,24.19,61.48,8.69,26.27,2500,15,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,12094.18,1.03,1.04
2015,Punjab,Zaid,Alluvial,6.86,113.81,38.16,71.89,4.21,15.8,600,23,"['Maize', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,17142.86,0.9,0.92
2004,Dadra and Nagar Haveli,Kharif,Laterite,5.25,97.73,23.52,57.79,1.02,5.75,1800,25,"['Maize', 'Chickpea', 'Cucumber']",Maize,110,600,35,50,80,6000,4032.77,0.56,0.56
2005,Andhra Pradesh,Rabi,Alluvial,7.06,104.98,21.23,71.44,3.87,24.71,900,20,"['Rice', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1061.34,0.89,0.89
2006,Haryana,Zaid,Alluvial,7.25,128.96,33.93,70.16,2.72,22.44,700,24,"['Soybean', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,8400.0,0.92,0.93
2000,Goa,Zaid,Sandy,6.05,70.87,15.86,20.25,1.76,12.13,3000,28,"['Maize', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,6751.62,0.51,0.52
2013,Jammu & Kashmir,Kharif,Alluvial,7.08,117.75,39.1,57.2,2.97,16.84,900,20,"['Rice', 'Pigeon Pea', 'Cucumber']",Rice,140,1500,40,60,100,4000,2400.0,0.85,0.85
2004,Assam,Kharif,Alluvial,7.25,89.5,36.37,53.5,3.97,18.41,2200,18,"['Soybean', 'Pigeon Pea', 'Cucumber']",Soybean,100,500,25,35,50,2000,2909.99,0.85,0.85
2006,Odisha,Zaid,Alluvial,7.42,80.29,21.57,76.44,2.23,22.07,1500,25,"['Soybean', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2876.03,0.8,0.81
2019,Chhattisgarh,Kharif,Red,6.37,78.81,28.88,55.09,2.32,19.13,1300,25,"['Groundnut', 'Pigeon Pea', 'Tomato']",Groundnut,90,400,20,30,50,1200,1733.02,0.73,0.73
2009,Odisha,Zaid,Laterite,5.79,103.46,16.15,44.12,1.1,6.91,1500,25,"['Rice', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,8077.28,0.53,0.55
2013,Rajasthan,Kharif,Alluvial,6.62,95.08,27.68,75.63,4.25,17.72,400,35,"['Soybean', 'Pigeon Pea', 'Okra']",Soybean,100,500,25,35,50,2000,1600.0,0.85,0.85
2011,Meghalaya,Rabi,Red,6.31,106.04,23.72,56.0,2.19,13.66,2500,15,"['Soybean', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1186.19,0.7,0.71
2001,Karnataka,Kharif,Laterite,5.87,75.84,11.94,46.11,2.87,8.08,900,23,"['Soybean', 'Pigeon Pea', 'Chili']",Soybean,100,500,25,35,50,2000,954.88,0.55,0.55
2012,Andhra Pradesh,Zaid,Red,5.92,62.85,25.09,55.91,2.33,15.9,900,20,"['Maize', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5185.52,0.66,0.67
2007,Dadra and Nagar Haveli,Kharif,Alluvial,7.32,116.27,22.26,62.19,3.46,20.41,1800,25,"['Maize', 'Pigeon Pea', 'Cucumber']",Maize,110,600,35,50,80,6000,3816.79,0.84,0.84
2003,Tripura,Zaid,Alluvial,7.32,94.29,21.42,60.37,4.23,19.38,2000,16,"['Maize', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2142.22,0.82,0.84
2000,Uttarakhand,Zaid,Mountain,6.38,97.19,28.96,32.08,2.91,16.1,1100,18,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4811.87,0.71,0.72
2009,Lakshadweep,Zaid,Coral,7.27,29.0,8.78,8.97,0.75,4.47,1500,32,"['Rice', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,897.07,0.33,0.33
2014,Sikkim,Rabi,Mountain,6.3,70.52,24.49,35.69,3.78,14.31,2000,17,"['Soybean', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1224.39,0.67,0.68
2017,Bihar,Rabi,Alluvial,6.82,96.03,23.57,57.18,3.25,17.51,1100,22,"['Groundnut', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,1414.0,0.77,0.78
2009,Dadra and Nagar Haveli,Zaid,Alluvial,7.3,116.47,31.19,60.77,4.43,18.88,1800,25,"['Rice', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,15597.17,0.9,0.91
2020,Ladakh,Rabi,Sandy,6.02,80.27,13.32,42.33,1.15,6.3,200,12,"['Groundnut', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,600.0,0.49,0.5
2013,Manipur,Kharif,Laterite,5.52,113.67,10.62,54.92,2.14,11.07,1800,17,"['Maize', 'Chickpea', 'Tomato']",Maize,110,600,35,50,80,6000,1821.37,0.61,0.61
2001,Mizoram,Kharif,Laterite,5.69,96.38,19.83,37.0,2.73,8.09,2200,14,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,1983.15,0.59,0.59
2006,Kerala,Zaid,Laterite,5.42,84.87,20.23,36.23,2.6,13.03,3000,19,"['Rice', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2696.78,0.6,0.61
2009,Tripura,Zaid,Alluvial,7.31,120.16,31.24,72.23,3.99,18.56,2000,16,"['Maize', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,4165.01,0.91,0.93
2001,Rajasthan,Kharif,Saline,8.35,39.14,5.25,10.08,0.73,7.03,400,35,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,419.89,0.38,0.38
2000,Rajasthan,Zaid,Alluvial,6.73,126.5,30.9,69.84,4.71,15.99,400,35,"['Groundnut', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2000.0,0.9,0.92
2017,Uttar Pradesh,Rabi,Alluvial,6.73,121.19,37.14,62.45,2.27,19.38,800,22,"['Groundnut', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1857.03,0.85,0.87
2004,Jharkhand,Kharif,Red,6.08,89.57,28.3,66.67,2.49,10.35,1000,21,"['Groundnut', 'Pigeon Pea', 'Tomato']",Groundnut,90,400,20,30,50,1200,1698.16,0.7,0.7
2007,Bihar,Kharif,Alluvial,7.43,84.49,39.23,74.22,3.38,17.24,1100,22,"['Rice', 'Pigeon Pea', 'Okra']",Rice,140,1500,40,60,100,4000,2933.33,0.87,0.87
2003,Puducherry,Zaid,Red,5.64,93.22,25.63,45.34,2.78,14.42,1200,26,"['Maize', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,12815.99,0.68,0.69
2018,Uttarakhand,Zaid,Mountain,6.65,91.6,22.79,55.6,3.47,18.82,1100,18,"['Maize', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,6835.77,0.77,0.78
2014,Uttar Pradesh,Rabi,Alluvial,6.59,129.64,28.16,58.62,3.67,18.04,800,22,"['Maize', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1689.47,0.85,0.85
2011,Andhra Pradesh,Rabi,Alluvial,6.78,102.48,36.74,67.17,5.0,17.87,900,20,"['Soybean', 'Chickpea', 'Chili']",Chickpea,90,350,20,25,50,1000,1836.86,0.91,0.93
2018,Nagaland,Zaid,Laterite,5.52,100.09,10.97,59.18,2.09,10.6,1800,16,"['Rice', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,1462.33,0.6,0.61
2020,Bihar,Rabi,Alluvial,6.66,124.06,26.57,53.39,4.61,21.36,1100,22,"['Groundnut', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1593.91,0.88,0.9
2015,Rajasthan,Zaid,Alluvial,6.64,120.34,23.14,50.45,2.94,20.88,400,35,"['Maize', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,4800.0,0.8,0.82
2000,Uttar Pradesh,Zaid,Alluvial,7.44,104.1,30.06,59.48,4.19,23.75,800,22,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,4008.36,0.91,0.92
2013,Haryana,Kharif,Alluvial,6.82,122.53,31.01,74.78,2.91,18.98,700,24,"['Soybean', 'Pigeon Pea', 'Chili']",Soybean,100,500,25,35,50,2000,2480.87,0.87,0.87
2015,Karnataka,Zaid,Red,5.6,72.99,18.82,69.95,1.38,11.48,900,23,"['Maize', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2509.32,0.6,0.61
2013,Kerala,Kharif,Alluvial,7.24,85.53,24.39,63.93,3.3,23.0,3000,19,"['Soybean', 'Chickpea', 'Okra']",Soybean,100,500,25,35,50,2000,1951.02,0.83,0.83
2009,Meghalaya,Zaid,Laterite,5.67,111.21,18.47,35.39,1.2,5.55,2500,15,"['Soybean', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5308.46,0.53,0.54
2015,Delhi,Zaid,Alluvial,7.21,103.86,22.62,57.07,4.8,23.6,700,24,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,11308.81,0.89,0.9
2011,Rajasthan,Rabi,Saline,7.7,45.61,14.75,29.32,0.72,9.06,400,35,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,737.62,0.47,0.47
2009,Chhattisgarh,Zaid,Red,5.82,66.22,29.43,48.7,2.71,13.88,1300,25,"['Soybean', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5463.29,0.66,0.67
2009,Himachal Pradesh,Zaid,Laterite,5.97,115.21,12.35,41.0,2.24,6.59,1200,16,"['Soybean', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,6173.97,0.57,0.58
2020,Maharashtra,Rabi,Black,6.84,135.48,44.38,109.81,4.54,23.31,900,26,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,2663.04,1.11,1.13
2003,Nagaland,Zaid,Laterite,5.69,95.38,16.02,55.65,1.86,8.86,1800,16,"['Maize', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,8009.39,0.59,0.6
2018,Haryana,Zaid,Alluvial,7.13,80.97,26.54,68.84,2.83,24.1,700,24,"['Groundnut', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3538.68,0.83,0.84
2018,Meghalaya,Zaid,Red,5.81,100.73,18.51,46.02,2.43,13.15,2500,15,"['Maize', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,1850.88,0.64,0.66
2008,Delhi,Rabi,Alluvial,7.36,127.9,30.06,52.49,3.86,18.4,700,24,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1503.07,0.87,0.87
2008,Puducherry,Rabi,Red,5.51,83.91,17.71,54.57,2.41,10.3,1200,26,"['Groundnut', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1062.57,0.6,0.61
2009,Chandigarh,Zaid,Alluvial,6.86,96.08,29.31,78.3,4.8,17.07,700,22,"['Rice', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,3907.97,0.88,0.9
2015,Jharkhand,Zaid,Red,6.26,84.14,24.89,55.32,1.95,18.35,1000,21,"['Maize', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,12445.18,0.7,0.71
2016,Telangana,Kharif,Red,5.73,104.81,27.1,40.11,1.64,14.22,800,28,"['Maize', 'Pigeon Pea', 'Cucumber']",Maize,110,600,35,50,80,6000,4645.82,0.65,0.65
2018,Chhattisgarh,Zaid,Laterite,5.27,112.94,19.43,52.89,2.53,8.56,1300,25,"['Soybean', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,9716.55,0.63,0.64
2013,Chandigarh,Kharif,Alluvial,6.72,122.57,29.66,62.48,4.93,17.01,700,22,"['Groundnut', 'Chickpea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,1779.68,0.89,0.89
2014,Jharkhand,Rabi,Red,6.31,78.98,26.33,60.17,2.06,10.99,1000,21,"['Groundnut', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1316.3,0.66,0.67
2015,Karnataka,Zaid,Laterite,5.4,72.42,13.15,46.98,2.23,5.4,900,23,"['Groundnut', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,3946.24,0.5,0.51
2011,Madhya Pradesh,Rabi,Black,6.16,116.91,44.44,114.48,4.96,25.12,1000,27,"['Maize', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,2666.38,1.11,1.11
2018,Madhya Pradesh,Zaid,Red,5.81,82.28,15.74,57.08,1.77,17.57,1000,27,"['Rice', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,7870.12,0.64,0.65
2008,Puducherry,Rabi,Red,5.64,103.36,25.1,41.41,2.13,17.63,1200,26,"['Soybean', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1254.76,0.69,0.7
2012,Andaman and Nicobar Islands,Zaid,Alluvial,6.59,115.54,39.47,73.72,2.73,24.08,3000,30,"['Soybean', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,18157.03,0.93,0.94
2011,Haryana,Rabi,Alluvial,7.01,124.38,32.83,62.41,2.88,18.75,700,24,"['Maize', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1641.27,0.86,0.86
2000,Telangana,Zaid,Black,6.9,158.14,48.66,114.83,4.27,26.91,800,28,"['Maize', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,9600.0,1.19,1.21
2012,Tamil Nadu,Zaid,Alluvial,6.91,113.02,29.42,55.97,3.81,15.61,950,27,"['Maize', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,14708.16,0.82,0.83
2011,Maharashtra,Rabi,Red,5.69,81.8,26.23,64.84,2.54,10.39,900,26,"['Soybean', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,1573.8,0.66,0.68
2019,Haryana,Kharif,Alluvial,6.54,116.06,27.05,59.77,3.42,23.77,700,24,"['Soybean', 'Pigeon Pea', 'Cucumber']",Soybean,100,500,25,35,50,2000,2164.31,0.87,0.87
2007,Jharkhand,Kharif,Laterite,5.08,77.87,10.47,58.41,1.48,7.4,1000,21,"['Maize', 'Pigeon Pea', 'Okra']",Maize,110,600,35,50,80,6000,1794.18,0.51,0.51
2013,Chandigarh,Kharif,Alluvial,6.74,124.81,28.09,63.67,4.12,23.21,700,22,"['Groundnut', 'Chickpea', 'Okra']",Groundnut,90,400,20,30,50,1200,1685.39,0.91,0.91
2010,Punjab,Kharif,Alluvial,6.5,121.56,35.34,60.52,3.13,20.34,600,23,"['Groundnut', 'Chickpea', 'Okra']",Groundnut,90,400,20,30,50,1200,1800.0,0.87,0.87
2011,Uttarakhand,Rabi,Mountain,7.06,87.04,14.97,30.46,2.33,16.07,1100,18,"['Rice', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,898.47,0.63,0.63
2020,Puducherry,Rabi,Red,6.24,61.82,28.54,42.2,2.79,12.28,1200,26,"['Rice', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,1712.29,0.64,0.64
2017,Meghalaya,Rabi,Laterite,5.98,117.98,21.89,48.11,1.99,5.4,2500,15,"['Rice', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,1313.4,0.61,0.61
2000,Nagaland,Zaid,Laterite,5.45,70.15,10.14,54.26,1.52,11.36,1800,16,"['Maize', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,1352.17,0.53,0.54
2010,Uttarakhand,Kharif,Mountain,7.18,93.44,15.3,43.46,3.08,16.64,1100,18,"['Groundnut', 'Pigeon Pea', 'Chili']",Groundnut,90,400,20,30,50,1200,917.96,0.7,0.7
2010,Chandigarh,Kharif,Alluvial,6.52,112.3,23.01,77.98,3.15,22.3,700,22,"['Maize', 'Chickpea', 'Tomato']",Maize,110,600,35,50,80,6000,3944.95,0.86,0.86
2000,Andhra Pradesh,Zaid,Red,5.77,66.77,21.71,64.88,1.61,14.68,900,20,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5508.91,0.63,0.64
2017,Telangana,Rabi,Red,5.52,104.39,21.83,56.68,1.81,14.6,800,28,"['Soybean', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1091.34,0.67,0.68
2014,Chandigarh,Rabi,Alluvial,7.0,113.85,35.57,53.93,3.8,15.34,700,22,"['Maize', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1778.52,0.84,0.84
2009,Chandigarh,Zaid,Alluvial,7.0,89.15,27.3,62.97,3.87,15.74,700,22,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,3640.13,0.8,0.81
2000,Daman and Diu,Zaid,Sandy,5.89,52.33,19.21,46.23,1.57,5.09,800,27,"['Maize', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,8223.44,0.48,0.49
2019,Manipur,Kharif,Forest,6.62,87.31,29.68,65.92,5.09,26.54,1800,17,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,2374.7,0.93,0.93
2014,Telangana,Rabi,Black,6.04,102.28,49.89,99.28,5.27,24.52,800,28,"['Rice', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,2400.0,1.08,1.08
2009,Jharkhand,Zaid,Red,5.51,89.62,27.53,41.31,1.47,18.9,1000,21,"['Maize', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,6196.47,0.66,0.68
2020,Tripura,Rabi,Forest,6.66,109.93,39.92,47.65,6.56,24.86,2000,16,"['Soybean', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,2144.18,1.0,1.02
2009,Lakshadweep,Zaid,Sandy,5.79,85.26,14.16,41.61,1.92,9.08,1500,32,"['Maize', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,1887.88,0.54,0.55
2019,Rajasthan,Kharif,Sandy,5.67,81.51,13.11,29.81,1.01,12.01,400,35,"['Maize', 'Pigeon Pea', 'Cucumber']",Maize,110,600,35,50,80,6000,2247.49,0.5,0.5
2012,Rajasthan,Zaid,Sandy,5.61,54.9,15.34,46.38,1.41,9.82,400,35,"['Groundnut', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,1509.73,0.5,0.51
2016,Odisha,Kharif,Laterite,5.53,93.94,12.59,52.57,2.82,10.54,1500,25,"['Groundnut', 'Pigeon Pea', 'Tomato']",Groundnut,90,400,20,30,50,1200,755.11,0.61,0.61
2009,Tamil Nadu,Zaid,Laterite,5.66,115.89,12.96,59.52,2.47,12.74,950,27,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,3888.52,0.66,0.68
2020,Maharashtra,Rabi,Black,6.22,146.48,35.3,117.34,5.16,27.54,900,26,"['Groundnut', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,2117.78,1.14,1.16
2012,Tamil Nadu,Zaid,Alluvial,7.32,83.86,26.12,69.67,2.72,17.81,950,27,"['Rice', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2306.07,0.78,0.8
2014,Uttarakhand,Rabi,Alluvial,7.23,121.14,30.37,63.85,2.94,20.81,1100,18,"['Soybean', 'Chickpea', 'Cucumber']",Chickpea,90,350,20,25,50,1000,1518.32,0.87,0.89
2017,Meghalaya,Rabi,Laterite,5.46,101.46,20.49,51.33,1.1,13.6,2500,15,"['Soybean', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,1229.38,0.61,0.63
2012,Goa,Zaid,Sandy,6.94,82.71,13.46,44.23,1.36,6.01,3000,28,"['Rice', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,1346.27,0.52,0.54
2013,Odisha,Kharif,Alluvial,7.28,118.52,24.21,65.04,2.7,19.1,1500,25,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,2421.06,0.82,0.82
2003,Kerala,Zaid,Alluvial,7.11,91.41,38.44,67.78,3.14,20.02,3000,19,"['Rice', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,2513.64,0.87,0.88
2002,Chandigarh,Rabi,Alluvial,6.76,85.65,35.15,72.73,4.43,23.87,700,22,"['Groundnut', 'Pigeon Pea', 'Cucumber']",Pigeon Pea,120,600,30,40,50,1800,2100.0,0.92,0.94
2004,Bihar,Kharif,Alluvial,7.02,118.31,38.65,78.42,3.11,16.36,1100,22,"['Groundnut', 'Pigeon Pea', 'Tomato']",Groundnut,90,400,20,30,50,1200,2318.93,0.9,0.9
2013,Dadra and Nagar Haveli,Kharif,Laterite,5.42,115.75,14.4,44.72,1.88,12.6,1800,25,"['Rice', 'Pigeon Pea', 'Cucumber']",Rice,140,1500,40,60,100,4000,1440.02,0.61,0.61
2006,Meghalaya,Zaid,Red,6.11,82.82,17.56,48.02,2.02,11.47,2500,15,"['Rice', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,2341.54,0.6,0.61
2010,Tripura,Kharif,Forest,6.44,74.3,22.02,40.45,7.74,29.73,2000,16,"['Rice', 'Chickpea', 'Okra']",Rice,140,1500,40,60,100,4000,2202.33,0.94,0.94
2012,Assam,Zaid,Alluvial,6.84,128.4,25.1,75.75,3.64,20.69,2200,18,"['Rice', 'Pigeon Pea', 'Tomato']",Tomato,80,350,20,30,70,10000,12551.82,0.9,0.92
2010,West Bengal,Kharif,Laterite,5.47,70.47,16.64,31.38,2.09,8.39,1500,20,"['Groundnut', 'Chickpea', 'Tomato']",Groundnut,90,400,20,30,50,1200,998.15,0.5,0.5
2002,Telangana,Rabi,Alluvial,6.52,114.79,23.29,72.61,4.9,22.8,800,28,"['Rice', 'Pigeon Pea', 'Okra']",Pigeon Pea,120,600,30,40,50,1800,1397.49,0.92,0.92
2003,Jammu & Kashmir,Zaid,Loamy,6.16,101.28,32.11,42.35,5.01,23.63,900,20,"['Maize', 'Chickpea', 'Chili']",Chili,70,300,15,20,60,1500,2785.13,0.87,0.89
2003,Assam,Zaid,Alluvial,7.05,122.67,38.29,57.96,4.71,18.21,2200,18,"['Groundnut', 'Pigeon Pea', 'Okra']",Okra,60,250,15,20,50,2000,5104.91,0.93,0.94
2003,Jammu & Kashmir,Zaid,Loamy,6.82,119.29,49.58,86.25,5.36,18.26,900,20,"['Groundnut', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,9841.05,1.04,1.06
2005,Dadra and Nagar Haveli,Rabi,Laterite,5.48,70.02,22.09,32.38,1.38,8.86,1800,25,"['Rice', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1104.42,0.51,0.51
2014,Maharashtra,Rabi,Black,6.07,153.74,32.52,84.93,3.44,20.3,900,26,"['Groundnut', 'Chickpea', 'Tomato']",Chickpea,90,350,20,25,50,1000,1626.15,0.95,0.98
2016,Chandigarh,Kharif,Alluvial,6.55,95.07,21.89,72.75,3.82,20.7,700,22,"['Groundnut', 'Chickpea', 'Cucumber']",Groundnut,90,400,20,30,50,1200,1313.47,0.83,0.83
2000,Dadra and Nagar Haveli,Zaid,Laterite,5.55,96.37,22.37,55.7,2.86,14.5,1800,25,"['Groundnut', 'Chickpea', 'Okra']",Okra,60,250,15,20,50,2000,2983.01,0.69,0.7
2011,Andaman and Nicobar Islands,Rabi,Sandy,6.97,78.89,10.78,23.18,1.49,6.61,3000,30,"['Groundnut', 'Pigeon Pea', 'Chili']",Pigeon Pea,120,600,30,40,50,1800,646.8,0.47,0.48
2016,West Bengal,Kharif,Alluvial,6.79,112.66,26.98,78.99,4.4,21.3,1500,20,"['Soybean', 'Chickpea', 'Chili']",Soybean,100,500,25,35,50,2000,2158.48,0.92,0.92
2016,Meghalaya,Kharif,Red,5.9,93.5,16.08,47.7,2.43,14.8,2500,15,"['Maize', 'Chickpea', 'Cucumber']",Maize,110,600,35,50,80,6000,2756.52,0.64,0.64
2004,Kerala,Kharif,Alluvial,7.49,128.34,30.53,59.1,3.09,15.66,3000,19,"['Rice', 'Chickpea', 'Okra']",Rice,140,1500,40,60,100,4000,3053.19,0.84,0.84
2015,Andaman and Nicobar Islands,Zaid,Sandy,6.22,76.2,14.43,48.47,1.25,10.32,3000,30,"['Rice', 'Pigeon Pea', 'Chili']",Chili,70,300,15,20,60,1500,1442.74,0.54,0.55
2014,Maharashtra,Rabi,Black,6.57,104.08,33.88,88.58,5.21,21.89,900,26,"['Groundnut', 'Chickpea', 'Okra']",Chickpea,90,350,20,25,50,1000,1693.79,0.98,1.0
2008,Karnataka,Rabi,Red,6.42,69.42,15.84,42.42,2.99,17.84,900,23,"['Maize', 'Pigeon Pea', 'Tomato']",Pigeon Pea,120,600,30,40,50,1800,950.62,0.65,0.65
2019,Lakshadweep,Kharif,Sandy,6.23,76.17,15.34,48.32,1.4,11.94,1500,32,"['Rice', 'Chickpea', 'Tomato']",Rice,140,1500,40,60,100,4000,1533.62,0.56,0.56
2012,Haryana,Zaid,Alluvial,7.06,86.41,22.46,68.59,4.03,22.77,700,24,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,11229.22,0.85,0.86
2013,Andaman and Nicobar Islands,Kharif,Alluvial,7.48,82.11,29.93,66.33,2.51,22.6,3000,30,"['Soybean', 'Chickpea', 'Tomato']",Soybean,100,500,25,35,50,2000,2394.07,0.83,0.83
2012,Goa,Zaid,Laterite,5.39,105.84,20.59,37.03,1.54,11.55,3000,28,"['Groundnut', 'Chickpea', 'Tomato']",Tomato,80,350,20,30,70,10000,10294.93,0.59,0.6
2001,Dadra and Nagar Haveli,Kharif,Laterite,5.9,94.01,15.6,44.8,2.16,6.89,1800,25,"['Rice', 'Pigeon Pea', 'Cucumber']",Rice,140,1500,40,60,100,4000,1559.81,0.56,0.56
2001,Goa,Kharif,Laterite,5.16,95.96,14.47,42.68,1.6,7.63,3000,28,"['Maize', 'Chickpea', 'Cucumber']",Maize,110,600,35,50,80,6000,2480.72,0.52,0.52
2019,Mizoram,Kharif,Laterite,5.84,82.55,20.25,50.52,2.0,12.78,2200,14,"['Rice', 'Pigeon Pea', 'Okra']",Rice,140,1500,40,60,100,4000,2025.15,0.62,0.62
2001,Madhya Pradesh,Kharif,Black,6.42,141.25,36.51,83.79,5.93,22.86,1000,27,"['Maize', 'Chickpea', 'Okra']",Maize,110,600,35,50,80,6000,6258.58,1.06,1.06
2015,Karnataka,Zaid,Laterite,5.9,110.51,18.05,38.35,1.12,6.62,900,23,"['Rice', 'Chickpea', 'Cucumber']",Cucumber,70,250,10,20,40,3000,5414.6,0.54,0.56
